theta_t,q_t,q_g,q_total,green_share,purchase_price,profit_t,profit_g,profit_r,utility_t,risk_sd
24.200000000000003,0.4595387106656747,0.9234102148890542,1.382948925554729,0.6677110035127694,3.1170510744452713,1.11564189192923,2.385559274884348,2.6615221934703435,0.8217907292149533,0.11019351173964628
24.400000000000002,0.4581551618814905,0.9236408063530849,1.3817959682345755,0.6684350132625995,3.1182040317654245,1.1137620444150222,2.3868370174817306,2.6577580819466156,0.8192637126558295,0.10986174839598471
24.6,0.45677991908470006,0.9238700134858833,1.3806499325705834,0.6691558748463937,3.1193500674294166,1.111884629678725,2.3881074054552194,2.6540192025924485,0.816752182938144,0.10953197675813188
24.8,0.45541290770298404,0.9240978487161693,1.3795107564191533,0.6698736087530655,3.1204892435808467,1.1100097051213087,2.3893705020055567,2.6503053052857215,0.8142559981887627,0.10920417894427384
25.0,0.4540540540540541,0.9243243243243243,1.3783783783783785,0.6705882352941176,3.1216216216216215,1.1081373265157048,2.3906263696128565,2.6466161431701973,0.8117750182615047,0.10887833728601849
25.200000000000003,0.45270328533241355,0.9245494524445977,1.3772527377770114,0.6712997746055597,3.1227472622229886,1.106267548045006,2.391875070046816,2.642951472602779,0.8093091047109537,0.10855443432522108
25.400000000000002,0.45136052959635475,0.9247732450672742,1.376133774663629,0.6720082466497984,3.123866225336371,1.1044004223397375,2.3931166643767705,2.6393110531017827,0.806858120766746,0.10823245281086609
25.6,0.450025715755186,0.9249957140408024,1.3750214297959884,0.6727136712175051,3.1249785702040116,1.102536000514227,2.3943512129815616,2.6356946472961984,0.804421931308323,0.10791237569600452
25.8,0.44869877355668564,0.9252168710738857,1.3739156446305714,0.6734160679294579,3.1260843553694286,1.100674332202094,2.395578775559254,2.6321020208759243,0.8020004028401393,0.10759418613474542
26.0,0.44737963357477634,0.9254367277375373,1.3728163613123137,0.6741154562383612,3.1271836386876863,1.098815465590881,2.396799411136682,2.628532942542938,0.7995934034673169,0.10727786747930028
26.200000000000003,0.446068227197417,0.9256552954670971,1.3717235226645141,0.674811855430642,3.128276477335486,1.0969594474558513,2.3980131780788376,2.624987183963401,0.7972008028717339,0.10696340327707962
26.400000000000002,0.4447644866147069,0.9258725855642155,1.3706370721789223,0.6755052846282218,3.1293629278210777,1.0951063231929723,2.3992201340980968,2.6214645197206696,0.794822472288541,0.10665077726784046
26.6,0.4434683448071969,0.9260886091988005,1.3695569540059975,0.6761957627902673,3.1304430459940025,1.0932561368511078,2.4004203362633056,2.617964727269185,0.7924582844830974,0.10633997338088345
26.8,0.44217973553440576,0.9263033774109324,1.368483112945338,0.6768833087149188,3.131516887054662,1.0914089311634405,2.4016138410087002,2.614487586889232,0.7901081137283167,0.10603097573229922
27.0,0.44089859332353554,0.9265169011127441,1.3674154944362797,0.6775679410409949,3.1325845055637203,1.0895647475781387,2.4028007041426873,2.611032881642555,0.7877718357824098,0.10572376862226232
27.200000000000003,0.43962485345838215,0.9267291910902696,1.3663540445486517,0.6782496782496783,3.1336459554513483,1.0877236262882948,2.403980980856476,2.6076003973287847,0.7854493278670274,0.10541833653237219
27.400000000000002,0.4383584519684382,0.9269402580052603,1.3652987099736984,0.6789285386661774,3.1347012900263014,1.0858856062611473,2.405154725732576,2.6041899224426945,0.7831404686457806,0.10511466412304002
