scenario,risk_bearing_actor,risk_aversion,expected_profit,profit_standard_deviation
S,Retailer,9.8,3.5225069028200133,0.3441275707943112
S,Retailer,9.850000000000001,3.516695152701998,0.3432670336151421
S,Retailer,9.9,3.510897483323464,0.34241078947807907
S,Retailer,9.950000000000001,3.5051139006189977,0.34155880633740643
S,Retailer,10.0,3.4993444093645936,0.34071105246556166
C,Thermal plant,0.0,1.3109393579072535,0.1736421758440812
C,Thermal plant,0.2,1.3104979986856518,0.17281979200625833
C,Thermal plant,0.4,1.3100066848043173,0.17200516120639275
C,Thermal plant,0.6000000000000001,1.3094668774711435,0.17119817432101567
C,Thermal plant,0.8,1.3088799965058426,0.17039872426496872
C,Thermal plant,1.0,1.3082474216278437,0.1696067059440335
C,Thermal plant,1.2000000000000002,1.3075704936994357,0.16882201620887605
C,Thermal plant,1.4000000000000001,1.3068505159258808,0.16804455381026348
C,Thermal plant,1.6,1.3060887550141524,0.16727421935551273
C,Thermal plant,1.8,1.3052864422919057,0.16651091526613174
C,Thermal plant,2.0,1.3044447747881667,0.1657545457366147
C,Thermal plant,2.2,1.3035649162772314,0.16500501669435594
C,Thermal plant,2.4000000000000004,1.3026479982871417,0.16426223576064575
C,Thermal plant,2.6,1.30169512107409,0.1635261122127153
C,Thermal plant,2.8000000000000003,1.3007073545640317,0.16279655694679795
C,Thermal plant,3.0,1.2996857392627237,0.1620734824421743
C,Thermal plant,3.2,1.2986312871353751,0.16135680272617134
C,Thermal plant,3.4000000000000004,1.297544982457036,0.16064643334008658
C,Thermal plant,3.6,1.2964277826348034,0.159942291306008
C,Thermal plant,3.8000000000000003,1.2952806190028827,0.1592442950945024
C,Thermal plant,4.0,1.294104397591508,0.1585523645931472
C,Thermal plant,4.2,1.2928999998706612,0.15786642107587798
C,Thermal plant,4.4,1.2916682834695221,0.15718638717312883
C,Thermal plant,4.6000000000000005,1.290410082872522,0.1565121868427412
C,Thermal plant,4.800000000000001,1.2891262100928427,0.15584374534161785
C,Thermal plant,5.0,1.2878174553241801,0.15518098919810028
C,Thermal plant,5.2,1.2864845875715454,0.15452384618504833
C,Thermal plant,5.4,1.285128355261851,0.15387224529360005
C,Thermal plant,5.6000000000000005,1.2837494868350068,0.15322611670759353
C,Thermal plant,5.800000000000001,1.2823486913162088,0.15258539177863026
C,Thermal plant,6.0,1.2809266588700887,0.15195000300176087
C,Thermal plant,6.2,1.2794840613373606,0.151319883991777
C,Thermal plant,6.4,1.2780215527545793,0.15069496946008964
C,Thermal plant,6.6000000000000005,1.2765397698575955,0.15007519519217843
C,Thermal plant,6.800000000000001,1.2750393325692786,0.14946049802559525
C,Thermal plant,7.0,1.2735208444720516,0.14885081582850593
C,Thermal plant,7.2,1.2719848932657574,0.14824608747875515
C,Thermal plant,7.4,1.2704320512113676,0.1476462528434397
C,Thermal plant,7.6000000000000005,1.268862875561014,0.14705125275897546
C,Thermal plant,7.800000000000001,1.2672779089748107,0.14646102901164432
C,Thermal plant,8.0,1.265677679924916,0.1458755243186082
C,Thermal plant,8.200000000000001,1.2640627030872695,0.14529468230937606
C,Thermal plant,8.4,1.262433479721412,0.14471844750771226
C,Thermal plant,8.6,1.2607904980388,0.14414676531397363
C,Thermal plant,8.8,1.2591342335599927,0.1435795819878637
C,Thermal plant,9.0,1.2574651494610865,0.143016844631592
C,Thermal plant,9.200000000000001,1.2557836969097533,0.14245850117342865
C,Thermal plant,9.4,1.2540903153912297,0.14190450035164165
C,Thermal plant,9.600000000000001,1.2523854330245852,0.14135479169880852
C,Thermal plant,9.8,1.2506694668695957,0.14080932552649056
C,Thermal plant,10.0,1.248942823224525,0.14026805291026057
C,Thermal plant,10.200000000000001,1.2472058979151137,0.13973092567507506
C,Thermal plant,10.4,1.2454590765750653,0.1391978963809806
C,Thermal plant,10.600000000000001,1.2437027349182985,0.13866891830914674
C,Thermal plant,10.8,1.2419372390032417,0.13814394544821562
C,Thermal plant,11.0,1.2401629454894172,0.1376229324809608
C,Thermal plant,11.200000000000001,1.2383802018865717,0.13710583477124685
C,Thermal plant,11.4,1.2365893467965843,0.1365926083512818
C,Thermal plant,11.600000000000001,1.234790710148389,0.13608320990915457
C,Thermal plant,11.8,1.2329846134261309,0.13557759677665054
C,Thermal plant,12.0,1.2311713698907696,0.13507572691733785
C,Thermal plant,12.200000000000001,1.2293512847953438,0.1345775589149167
C,Thermal plant,12.4,1.227524655594087,0.1340830519618265
C,Thermal plant,12.600000000000001,1.2256917721455967,0.13359216584810196
C,Thermal plant,12.8,1.2238529169102377,0.13310486095047463
C,Thermal plant,13.0,1.2220083651419635,0.1326210982217107
C,Thermal plant,13.200000000000001,1.220158385074725,0.1321408391801815
C,Thermal plant,13.4,1.2183032381036407,0.1316640458996589
C,Thermal plant,13.600000000000001,1.2164431789610823,0.13119068099933187
C,Thermal plant,13.8,1.2145784558878416,0.13072070763403654
C,Thermal plant,14.0,1.2127093107995233,0.13025408948469622
C,Thermal plant,14.200000000000001,1.2108359794483117,0.12979079074896527
C,Thermal plant,14.4,1.208958691580255,0.129330776132072
C,Thermal plant,14.600000000000001,1.2070776710881999,0.12887401083785524
C,Thermal plant,14.8,1.2051931361605115,0.12842046055999068
C,Thermal plant,15.0,1.2033052994257059,0.12797009147340166
C,Thermal plant,15.200000000000001,1.2014143680931153,0.12752287022584977
C,Thermal plant,15.4,1.1995205440897119,0.1270787639297016
